PERMEN LHK. 3/0,UU. 5/1990,PP. 13/1994,PP. 18/1994,PP. 68/1998,UU. 41/1999,PP. 7/1999,PP. 8/1999,PP. 34/2002,PP. 35/2002,PP. 63/2002,UU. 19/2004,PP. 44/2004,PP. 45/2004,PERMEN LH. 10/2006,PERMEN LH. 11/2006,PERMEN LH. 12/2006,PERMEN LH. 14/2006,UU. 16/2006,PERMEN LH. 2/2006,PERMEN LH. 3/2006
Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 57/Menhut-II/2008 tentang Arahan Strategis Konservasi Spesies Nasional 2008-2018,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.58/Menhut-II/2008 tentang Kompetensi dan Sertifikasi Tenaga Teknis Pengelolaan Hutan Produksi Lestari,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.59/Menhut-II/2008 tentang Penunjukan Unit Kliring Data Spasial Departemen Kehutanan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.6/Menhut-II/2008 tentang Pedoman Penyelenggaraan Statistik Kehutanan,Peraturan Menteri Negara Lingkungan Hidup Nomor 6 Tahun 2008 tentang Tata Laksana Lisensi Komisi Penilai Analisis Mengenai Dampak Lingkungan Hidup Kabupaten/Kota,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.60/Menhut-II/2008 tentang Pedoman Pembangunan Hutan Tanaman Dalam Kawasan Hutan Eks Perkebunan Kpks Bukit Harapan dan Pt. Torganda Serta Koperasi Parsub dan Pt. Torus Ganda di Kawasan Hutan Reg,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.61/Menhut-II/2008 tentang Ketentuan dan Tata Cara Pemberian Izin Usaha Pemanfaatan Hasil Hutan Kayu Restorasi Ekosistem Dalam Hutan Alam Pada Hutan Produksi Melalui Permohonan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.62/Menhut-II/2008 tentang Rencana Kerja Usaha Pemanfaatan Hasil Hutan Kayu Hutan Tanaman Industri dan Hutan Tanaman Rakyat,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.63/Menhut-II/2008 tentang Tata Cara Pemberian Rekomendasi Gubernur Dalam Rangka Permohnan atau Perpanjangan Izin Usaha Pemanfaatan Hasil Hutan Kayu (Iuphhk) Hutan Alam atau Hutan Tanaman,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.64/Menhut-II/2008 tentang Perubahan Ketujuh Atas Peraturan Menteri Kehutanan Nomor P.13/Menhut-II/2005 tentang Organisasi dan Tata Kerja Departemen Kehutanan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.65/Menhut-II/2008 tentang Rekomendasi Ekspor Produk Kayu Olahan Ulin,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.66/Menhut-II/2008 tentang Kriteria dan Klafisikasi Unit Pelaksana Teknis Perbenihan Tanaman Hutan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.67/Menhut-II/2008 tentang Kriteria dan Klasifikasi Unit Pelaksana Teknis Pengelolaan Daerah Aliran Sungai,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.68/Menhut-II/2008 tentang Penyelenggaraan Demonstration Activities Pengurangan Emisi Karbon dari Deforestasi dan Degradasi Hutan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.69/Menhut-II/2008 tentang Standar Pelayanan Minimum untuk Pusat Pembiayaan Pembangunan Hutan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.7/Menhut-II/2008 tentang Perubahan Kedua Peraturan Menteri Kehutanan Nomor P.45/Menhut-II/2007 tentang Tata Cara Izin Peralatan Pemanfaatan Hasil Hutan Kayu Pada Hutan Tanaman Industri,Peraturan Menteri Negara Lingkungan Hidup Nomor 7 Tahun 2008 tentang Program Penilaian Peringkat Kinerja Perusahaan dan Pengelolaan Lingkungan Hidup,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.70/Menhut-II/2008 tentang Pedoman Teknis Rehabilitasi Hutan dan Lahan,"Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.71/Menhut-II/2008 Pakaian, Atribut dan Kelengkapan Seragam Polisi Kehutanan",Peraturan Pemerintah Republik Indonesia Nomor 76 Tahun 2008 tentang Rehabilitasi dan Reklamasi Hutan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.8/Menhut-II/2008 tentang Perubahan Peraturan Menteri Kehutanan Nomor P.49/Menhut-II/2007 tentang Pelimpahan Sebagian Kewenangan Menteri Kehutanan Sebagai Pengguna Anggaran/Barang di Propinsi Ke
PERMENHUT. 9/2008,PERMENHUT. 1/2009,PERMEN LH. 1/2009,PERMENHUT. 10/2009,PERMEN LH. 10/2009,PERMENHUT. 11/2009,PERMEN LH. 11/2009,PERMENHUT. 12/2009,PERMEN LH. 12/2009,PERMENHUT. 13/2009,PERMEN LH. 13/2009,PERMENHUT. 14/2009,PERMENHUT. 15/2009,PERMENHUT. 16/2009,PERMENHUT. 17/2009,PERMEN LH. 17/2009,PERMENHUT. 18/2009,PERMEN LH. 18/2009,PERMENHUT. 19/2009,PERMEN LH. 19/2009,PERMENHUT. 2/2009
Peraturan Menteri Kehutanan Republik Indonesia Nomor : P.9/Menhut-II/2008 tentang Persyaratan Kelompok Tani Hutan Untuk Mendapatkan Pinjaman Dana Bergulir Pembangunan Hutan Tanaman Rakyat,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 1/Menhut-II/2009 tentang Penyelenggaraan Perbenihan Tanaman Hutan,Peraturan Menteri Negara Lingkungan Hidup Nomor 01 Tahun 2009 Tentang Program Adipura,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 10/Menhut-II/2009 tentang Pedoman Penyusunan Rencana Pengelolaan Taman Hutan Raya,Peraturan Menteri Negara Lingkungan Hidup Nomor 10 Tahun 2009 tentang Baku Mutu Air Limbah Bagi Usaha dan/Atau Kegiatan Industri Oleokimia Dasar,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 11/Menhut-II/2009 tentang Sistem Silvikultur Dalam Areal Izin Usaha Pemanfaatan Hasil Hutan Kayu Pada Hutan Produksi,Peraturan Menteri Negara Lingkungan Hidup Nomor 11 Tahun 2009 tentang Baku Mutu Air Limbah Bagi Usaha dan/atau Kegiatan Peternakan Sapi dan Babi,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 12/Menhut-II/2009 tentang Pengendalian Kebakaran Hutan,Peraturan Menteri Negara Lingkungan Hidup Nomor 12 Tahun 2009 tentang Pemanfaatan Air Hujan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 13/Menhut-II/2009 tentang Hutan Tanaman Hasil Rehabilitasi,Peraturan Menteri Negara Lingkungan Hidup Nomor 13 Tahun 2009 tentang Baku Mutu Emisi Tidak Bergerak Bagi Usaha dan/atau Kegiatan Minyak dan Gas Bumi,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 14/Menhut-II/2009 tentang Perubahan Peraturan Menteri Kehutanan Nomor P. 62//Menhut-II/2008 tentang Rencana Kerja Usaha Pemanfaatan Hasil Hutan Kayu Hutan Tanaman Industri dan Hutan Tanaman Ra,"Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 15/Menhut-II/2009 tentang Perubahan Atas Peraturan Menteri Kehutanan Nomor P.32/Menhut-II/2007 tentang Tata Cara Pengenaan, Pemungutan, dan Pembayaran Iuran Izin Usaha Pemanfaatan Hutan Pada H",Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 16/Menhut-II/2009 tentang Perubahan Kelima Atas Keputusan Menteri Kehutanan Nomor 292/Kpts-II/1995 tentang Tukar Menukar Kawasan Hutan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 17/Menhut-II/2009 tentang Tata Cara Pengenaan Sanksi Administratif Terhadap Pemegang Izin Usaha Industri Primer Hasil Hutan Kayu,Peraturan Menteri Negara Lingkungan Hidup Nomor 17 Tahun 2009 tentang Pedoman Penentuan Daya Dukung Lingkungan Hidup Dalam Penataan Ruang,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 18/Menhut-II/2009 tentang Perubahan Atas Peraturan Menteri Kehutanan Nomor P.37/Menhut-II/2007 tentang Hutan Kemasyarakatan,Peraturan Menteri Negara Lingkungan Hidup Nomor 18 Tahun 2009 tentang Tata Cara Perizinan Pengelolaan Limbah Bahan Berbahaya dan Beracun,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 19/Menhut-II/2009 tentang Strategi Pengembangan Hasil Hutan Bukan Kayu Nasional,Peraturan Menteri Negara Lingkungan Hidup Nomor 19 Tahun 2009 tentang Perubahan Ketiga Atas Peraturan Menteri Lingkungan Hidup Nomor 10A Tahun 2006 tentang Pedoman Teknis Penyaluran Pembiayaan Bagi Kegiatan Debt For Nature Swap (Dns) Dengan Pemerinta,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 2/Menhut-II/2009 tentang Pola Pendidikan dan Pelatihan Pegawai Negeri Sipil Departemen Kehutanan
PERMEN LH. 2/2009,PERMENHUT. 20/2009,PERMEN LH. 20/2009,PERMENHUT. 21/2009,PERMEN LH. 21/2009,PERMENHUT. 22/2009,PERMEN LH. 22/2009,PERMENHUT. 23/2009,PERMENHUT. 24/2009,PERMEN LH. 24/2009,PERMENHUT. 25/2009,PERMEN LH. 25/2009,PERMENHUT. 26/2009,PERMEN LH. 26/2009,PERMENHUT. 27/2009,PERMEN LH. 27/2009,PERMENHUT. 28/2009,PERMEN LH. 28/2009,PERMENHUT. 29/2009,PERMEN LH. 29/2009,PERMENHUT. 3/2009
Peraturan Menteri Negara Lingkungan Hidup Nomor 2 Tahun 2009 tentang Pedoman Pelaksanaan Program Adiwiyata,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 20/Menhut-II/2009 tentang Panduan Penanaman Satu Orang Satu Pohon (One Man One Tree),Peraturan Menteri Negara Lingkungan Hidup Nomor 20 Tahun 2009 tentang Urusan Pemerintah di Bidang Lingkungan Hidup yang Dapat Didekonsentrasikan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 21/Menhut-II/2009 tentang Kriteria dan Indikator Penetapan Jenis Hasil Hutan Bukan Kayu Unggulan,Peraturan Menteri Negara Lingkungan Hidup Nomor 21 Tahun 2009 tentang Baku Mutu Air Limbah Bagi Usaha dan/atau Kegiatan Pertambangan Bijih Besi,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 22/Menhut-II/2009 tentang Perubahan Peraturan Menteri Kehutanan Nomor P.31/Menhut-II/2005 tentang Pelepasan Kawasan Hutan Dalam Rangka Pengembangan Usaha Budidaya Perkebunan,Peraturan Menteri Negara Lingkungan Hidup Nomor 22 Tahun 2009 tentang Tata Laksana Registrasi Kompetensi Bidang Lingkungan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 23/Menhut-II/2009 tentang Tata Cara Penyerahan Kembali Izin Usaha Pemanfaatan Hasil Hutan Kayu Sebelum Jangka Waktu Izin Berakhir,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 24/Menhut-II/2009 tentang Pendaftaran Ulang Izin Usaha Industri Primer Hasil Hutan Kayu,Peraturan Menteri Negara Lingkungan Hidup Nomor 24 Tahun 2009 tentang Panduan Penilaian Dokumen Analisis Mengenai Dampak Lingkungan Hidup,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 25/Menhut-II/2009 tentang Pedoman Umum Penilaian Lomba Penghijauan dan Konservasi Alam (PKA),Peraturan Menteri Negara Lingkungan Hidup Republik Indonesia Nomor 25 Tahun 2009 tentang Pembinaan dan Pengawasan Terhadap Komisi Penilai Analisis Mengenai Dampak Lingkungan Hidup Daerah,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 26/Menhut-II/2009 tentang Perubahan Peraturan Menteri Kehutanan Nomor P.48/Menhut-II/2007 tentang Standard Biaya Pembangunan Hutan Tanaman Industri dan Hutan Tanaman Rakyat,Peraturan Menteri Negara Lingkungan Hidup Republik Indonesia Nomor 26 Tahun 2009 tentang Pedoman Penyelenggaraan Pendidikan dan Pelatihan Di Bidang Lingkungan Hidup,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 27/Menhut-II/2009 tentang Pedoman Pelaporan Keuangan Lingkup Departemen Kehutanan,Peraturan Menteri Negara Lingkungan Hidup Republik Indonesia Nomor 27 Tahun 2009 tentang Pedoman Pelaksanaan Kajian Lingkungan Hidup Strategis,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 28/Menhut-II/2009 tentang Tata Cara Pelaksanaan Konsultasi Dalam Rangka Pemberian Persetujuan Substansi Kehutanan Atas Rancangan Peraturan Daerah Tentang Rencana Tata Ruang Daerah,Peraturan Menteri Negara Lingkungan Hidup Nomor 28 Tahun 2009 tentang Daya Tampung Beban Pencemaran Air Danau dan/atau Waduk,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 29/Menhut-II/2009 tentang Perubahan Atas Peraturan Menteri Kehutanan Nomor P.52/Menhut-II/2008 tentang Tata Cara dan Persyaratan Perpanjangan Izin Usaha Pemanfaatan Hasil Hutan Kayu Dalam Huta,Peraturan Menteri Negara Lingkungan Hidup Nomor 29 Tahun 2009 tentang Pedoman Konservasi Keanekaragaman Hayati di Daerah,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 3/Menhut-II/2009 tentang Petunjuk Teknis Penggunaan Dana Alokasi Khusus Bidang Kehutanan
PERMEN LH. 3/2009,PERMENHUT. 30/2009,PERMEN LH. 30/2009,PERMENHUT. 31/2009,PERMEN LH. 31/2009,PERMENHUT. 32/2009,UU. 32/2009,PERMEN LH. 32/2009,PERMENHUT. 33/2009,PERMEN LH. 33/2009,PERMENHUT. 34/2009,PERMEN LH. 34/2009,PERMENHUT. 35/2009,PERMEN LH. 35/2009,PERMENHUT. 36/2009,PERMENHUT. 37/2009,PERMENHUT. 38/2009,PERMENHUT. 39/2009,PERMENHUT. 4/2009,PERMEN LH. 4/2009,PERMENHUT. 40/2009
Peraturan Menteri Negara Lingkungan Hidup Nomor 3 Tahun 2009 tentang Sertifikasi Kompetensi dan Standar Kompetensi Manajer Pengendalian Pencemaran Air,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 30/Menhut-II/2009 tentang Tata Cara Pengurangan Emisi Dari Deforestasi dan Degradasi Hutan (REDD),Peraturan Menteri Negara Lingkungan Hidup Republik Indonesia Nomor 30 Tahun 2009 tentang Tata Laksana Perizinan dan Pengawasan Pengelolaan Limbah Bahan Berbahaya dan Beracun Serta Pengawasan Pemulihan Akibat Pencemaran Limbah Bahan Berbahaya dan Bera,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 31/Menhut-II/2009 tentang Akta Buru dan Tata Cara Permohonan Akta Buru,"Peraturan Menteri Negara Lingkungan Hidup Nomor 31 Tahun 2009 tentang Pembinaan Dan Pengawasan Penerapan Sistem Manajemen Lingkungan, Ekolabel, Produksi Bersih, Dan Teknologi Berwawasan Lingkungan Di Daerah",Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 32/Menhut-II/2009 tentang Tata Cara Penyusunan Rencana Teknik Rehabilitasi Hutan dan Lahan Daerah Aliran Sungai (RTKRHL-DAS),Undang-undang Republik Indonesia Nomor 32 Tahun 2009 tentang Perlindungan dan Pengelolaan Lingkungan Hidup,Peraturan Menteri Negara Lingkungan Hidup Nomor 32 Tahun 2009 tentang Pembinaan Dan Pengawasan Penerapan Standar Nasional Indonesia Dan Standar Kompetensi Bidang Pengelolaan Lingkungan Hidup Di Daerah,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 33/Menhut-II/2009 tentang Pedoman Inventarisasi Hutan Menyeluruh Berkala (IHMB) Pada Usaha Pemanfaatan Hasil Hutan Kayu Pada Hutan Produksi,Peraturan Menteri Negara Lingkungan Hidup Nomor 33 Tahun 2009 tentang Tata Cara Pemulihan Lahan Terkontaminasi Limbah Bahan Berbahaya Dan Beracun,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 34/Menhut-II/2009 tentang Tata Cara dan Persyaratan Pemindahtanganan Izin Usaha Pemanfaatan Hasil Hutan Kayu,Peraturan Menteri Negara Lingkungan Hidup Nomor 34 Tahun 2009 tentang Baku Mutu Air Limbah Bagi Usaha Dan/Atau Kegiatan Pertambangan Bijih Bauksit,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 35/Menhut-II/2009 tentang Tata Cara Penerbitan Rekomendasi Ekspor Produk Kayu Ulin Olahan (PROKALINO),Peraturan Menteri Negara Lingkungan Hidup Nomor 35 Tahun 2009 tentang Pengelolaan Halon,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 36/Menhut-II/2009 tentang Tata Cara Perizinan Usaha Pemanfaatan Penyerapan dan/Atau Penyimpanan Karbon Pada Hutan Produksi dan Hutan Lindung,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 37/Menhut-II/2009 tentang Perubahan Atas Peraturan Menteri Kehutanan Nomor P.20/Menhut-II/2005 tentang Kerjasama Operasi (KSO) Pada Izin Usaha Pemanfaatan Hasil Hutan Kayu Pada Hutan Tanaman,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 38/Menhut-II/2009 tentang Standard dan Pedoman Penilaian Kinerja Pengelolaan Hutan Produksi Lestari dan Verifikasi Legalitas Kayu Pada Pemegang Izin Atau Pada Hutan Hak,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 39/Menhut-II/2009 tentang Pedoman Penyusunan Rencana Pengelolaan Daerah Aliran Sungai Terpadu,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 4/Menhut-II/2009 tentang Penyelesaian Hak Pengusahaan Hutan Tanaman Industri Sementara,Peraturan Menteri Negara Lingkungan Hidup Nomor 4 Tahun 2009 tentang Ambang Batas Emisi Gas Buang Kendaraan Bermotor Tipe Baru,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 40/Menhut-II/2009 tentang Standar Operasi Prosedur Sistem Komunikasi Radio Terpadu Departemen Kehutanan
PERMENHUT. 41/2009,PERMENHUT. 42/2009,PERMENHUT. 43/2009,PERMENHUT. 44/2009,PERMENHUT. 45/2009,PERMENHUT. 46/2009,PERMENHUT. 47/2009,PERMENHUT. 48/2009,PERMENHUT. 49/2009,PERMENHUT. 5/2009,PERMEN LH. 5/2009,PERMENHUT. 50/2009,PERMENHUT. 51/2009,PERMENHUT. 52/2009,PERMENHUT. 53/2009,PERMENHUT. 54/2009,PERMENHUT. 55/2009,PERMENHUT. 56/2009,PERMENHUT. 57/2009,PERMENHUT. 58/2009,PERMENHUT. 59/2009
Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 41/Menhut-II/2009 tentang Perubahan Kedua Atas Peraturan Menteri Kehutanan Nomor P.49/Menhut-II/2007 tentang Pelimpahan Sebagian Kewenangan Menteri Kehutanan Sebagai Pengguna Anggaran/Barang D,"Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 42/Menhut-II/2009 tentang Pola Umum, Kriteria dan Standar Pengelolaan Daerah Aliran Sungai Terpadu",Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 43/Menhut-II/2009 tentang Perubahan Atas Peraturan Menteri Kehutanan Nomor P.16/Menhut-II/2006 tentang Rencana Pemenuhan Bahan Baku Industri (RPBBI) Primer Hasil Hutan Kayu,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 44/Menhut-II/2009 tentang Organisasi dan Tata Kerja Sekolah Menengah Kejuruan Kehutanan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 45/Menhut-II/2009 tentang Perubahan Ketiga Atas Peraturan Menteri Kehutanan Nomor P.55/Menhut-II/2006 tentang Penatausahaan Hasil Hutan Yang Berasal Dari Hutan Negara,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 46/Menhut-II/2009 tentang Tata Cara Pemberian Izin Pemungutan Hasil Hutan Kayu Atau Hasil Hutan Bukan Kayu Pada Hutan Produksi,"Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 47/Menhut-II/2009 tentang Perubahan Peraturan Menteri Kehutanan Nomor P.48/Menhut-II/2006 tentang Petunjuk Pelaksanaan Pelelangan Hasil Hutan Temuan, Sitaan dan Rampasan",Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 48/Menhut-II/2009 tentang Penggunaan Peta Dasar Tematik Kehutanan Skala 1:250.000,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 49/Menhut-II/2009 tentang Perubahan Atas Peraturan Menteri Kehutanan Nomor P.4/Menhut-II/2009 tentang Penyelesaian Hak Pengusahaan Hutan Tanaman Industri Sementara,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 5/Menhut-II/2009 tentang Pelimpahan Sebagian Urusan Pemerintah (Dekonsentrasi) Bidang Kehutanan Kepada 33 Gubernur Pemerintah Provinsi Selaku Wakil Pemerintah Tahun 2009,Peraturan Menteri Negara Lingkungan Hidup Nomor 5 Tahun 2009 tentang Pengelolaan Limbah di Pelabuhan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 50/Menhut-II/2009 tentang Penegasan Status dan Fungsi Kawasan Hutan,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 51/Menhut-II/2009 tentang Perubahan Kesatu Atas Peraturan Menteri Kehutanan Nomor P.02/Menhut-II/2007 tentang Organisasi dan Tata Kerja Unit Pelaksana Teknis Konservasi Sumber Daya Alam,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 52/Menhut-II/2009 tentang Perubahan Kesatu Atas Peraturan Menteri Kehutanan Nomor P.03/Menhut-II/2007 tentang Organisasi dan Tata Kerja Unit Pelaksana Teknis Taman Nasional,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 53/Menhut-II/2009 tentang Pemasukan dan Penggunaan Alat Untuk Kegiatan Izin Usaha Pemanfaatan Hutan Atau Izin Pemanfaatan Kayu,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 54/Menhut-II/2009 tentang Perubahan Ketiga Atas Peraturan Menteri Kehutanan Nomor P.21/Menhut-V/2007 Tentang Penyelenggaraan Kegiatan Gerakan Nasional Rehabilitasi Hutan dan Lahan Tahun 2007,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 55/Menhut-II/2009 tentang Perubahan Kedua Atas Peraturan Menteri Kehutanan Nomor P.22/Menhut-V/2007 tentang Petunjuk Teknis dan Petunjuk Pelaksanaan Kegiatan Gerakan Nasional Rehabilitasi Huta,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 56/Menhut-II/2009 tentang Rencana Kerja Usaha Pemanfaatan Hasil Hutan Kayu Hutan Alam dan Restorasi Ekosistem,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 57/Menhut-II/2009 tentang Tata Cara Verifikasi Klaim Kredit Macet Kredit Usaha Tani Konservasi Daerah Aliran Sungai (KUK-DAS),Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 58/Menhut-II/2009 tentang Penggantian Nilai Tegakan Dari Izin Pemanfaatan Kayu dan/Atau Dari Penyiapan Lahan Dalam Pembangunan Hutan Tanaman,Peraturan Menteri Kehutanan Republik Indonesia Nomor : P. 59/Menhut-II/2009 tentang Rencana Kerja (RENJA) Departemen Kehutanan Tahun 2010
PERMENHUT. 6/2009,PERMEN LH. 6/2009,PERMENHUT. 60/2009,PP. 60/2009,PERMENHUT. 61/2009,PERMENHUT. 62/2009,PERMENHUT. 63/2009,PERMENHUT. 64/2009,PERMENHUT. 65/2009,PERMENHUT. 67/2009,PERMENHUT. 68/2009,PERMENHUT. 69/2009,PERMENHUT. 7/2009,PERMEN LH. 7/2009,PERMENHUT. 70/2009,PERMENHUT. 71/2009,PERMENHUT. 72/2009,PERMENHUT. 8/2009,PERMEN LH. 8/2009,PERMENHUT. 9/2009,PERMEN LH. 9/2009
